week_ending_date	ed_influenza_pct_65p	ed_rsv_pct_65p
2022-10-01	0.001	0.001
2022-10-08	0.002	0.001
2022-10-15	0.002	0.001
2022-10-22	0.004	0.001
2022-10-29	0.006	0.002
2022-11-05	0.009000000000000001	0.002
2022-11-12	0.012	0.003
2022-11-19	0.015	0.003
2022-11-26	0.03	0.003
2022-12-03	0.037000000000000005	0.003
2022-12-10	0.031	0.004
2022-12-17	0.027999999999999997	0.003
2022-12-24	0.028999999999999998	0.003
2022-12-31	0.028999999999999998	0.003
2023-01-07	0.017	0.002
2023-01-14	0.008	0.002
2023-01-21	0.005	0.001
2023-01-28	0.003	0.001
2023-02-04	0.003	0.001
2023-02-11	0.002	0.001
2023-02-18	0.002	0.001
2023-02-25	0.002	0.001
2023-03-04	0.002	0.001
2023-03-11	0.002	0.0
2023-03-18	0.001	0.0
2023-03-25	0.001	0.0
2023-04-01	0.001	0.0
2023-04-08	0.001	0.0
2023-04-15	0.001	0.0
2023-04-22	0.001	0.0
2023-04-29	0.001	0.0
2023-05-06	0.001	0.0
2023-05-13	0.001	0.0
2023-05-20	0.001	0.0
2023-05-27	0.001	0.0
2023-06-03	0.001	0.0
2023-06-10	0.001	0.0
2023-06-17	0.001	0.0
2023-06-24	0.001	0.0
2023-07-01	0.001	0.0
2023-07-08	0.001	0.0
2023-07-15	0.001	0.0
2023-07-22	0.001	0.0
2023-07-29	0.001	0.0
2023-08-05	0.001	0.0
2023-08-12	0.001	0.0
2023-08-19	0.001	0.0
2023-08-26	0.001	0.0
2023-09-02	0.001	0.0
2023-09-09	0.001	0.0
2023-09-16	0.001	0.0
2023-09-23	0.001	0.0
2023-09-30	0.002	0.0
2023-10-07	0.002	0.0
2023-10-14	0.002	0.0
2023-10-21	0.002	0.001
2023-10-28	0.002	0.001
2023-11-04	0.003	0.001
2023-11-11	0.004	0.001
2023-11-18	0.004	0.002
2023-11-25	0.006	0.003
2023-12-02	0.008	0.003
2023-12-09	0.01	0.004
2023-12-16	0.013999999999999999	0.004
2023-12-23	0.023	0.005
2023-12-30	0.033	0.006
2024-01-06	0.026000000000000002	0.006
2024-01-13	0.019	0.005
2024-01-20	0.016	0.004
2024-01-27	0.015	0.003
2024-02-03	0.013999999999999999	0.003
2024-02-10	0.013999999999999999	0.002
2024-02-17	0.013000000000000001	0.002
2024-02-24	0.013999999999999999	0.002
2024-03-02	0.013999999999999999	0.002
2024-03-09	0.012	0.001
2024-03-16	0.009000000000000001	0.001
2024-03-23	0.006999999999999999	0.001
2024-03-30	0.006999999999999999	0.001
2024-04-06	0.006	0.001
2024-04-13	0.005	0.001
2024-04-20	0.003	0.0
2024-04-27	0.003	0.0
2024-05-04	0.003	0.0
2024-05-11	0.002	0.0
2024-05-18	0.002	0.0
2024-05-25	0.002	0.0
2024-06-01	0.002	0.0
2024-06-08	0.002	0.0
2024-06-15	0.001	0.0
2024-06-22	0.001	0.0
2024-06-29	0.001	0.0
2024-07-06	0.001	0.0
2024-07-13	0.001	0.0
2024-07-20	0.001	0.0
2024-07-27	0.001	0.0
2024-08-03	0.001	0.0
2024-08-10	0.001	0.0
2024-08-17	0.001	0.0
2024-08-24	0.001	0.0
2024-08-31	0.001	0.0
2024-09-07	0.001	0.0
2024-09-14	0.001	0.0
2024-09-21	0.001	0.0
2024-09-28	0.001	0.0
2024-10-05	0.001	0.0
2024-10-12	0.001	0.0
2024-10-19	0.001	0.0
2024-10-26	0.001	0.0
2024-11-02	0.002	0.0
2024-11-09	0.002	0.0
2024-11-16	0.002	0.001
2024-11-23	0.003	0.001
2024-11-30	0.004	0.001
2024-12-07	0.006	0.001
2024-12-14	0.009000000000000001	0.002
2024-12-21	0.016	0.003
2024-12-28	0.034	0.004
2025-01-04	0.038	0.005
2025-01-11	0.031	0.005
2025-01-18	0.032	0.004
2025-01-25	0.043	0.003
2025-02-01	0.053	0.003
2025-02-08	0.055999999999999994	0.003
2025-02-15	0.048	0.003
2025-02-22	0.04	0.003
2025-03-01	0.031	0.003
2025-03-08	0.024	0.002
2025-03-15	0.019	0.002
2025-03-22	0.013000000000000001	0.002
2025-03-29	0.009000000000000001	0.002
2025-04-05	0.006	0.001
2025-04-12	0.004	0.001
2025-04-19	0.003	0.001
2025-04-26	0.003	0.001
2025-05-03	0.002	0.001
2025-05-10	0.002	0.0
2025-05-17	0.002	0.0
2025-05-24	0.001	0.0
2025-05-31	0.001	0.0
2025-06-07	0.001	0.0
2025-06-14	0.001	0.0
2025-06-21	0.001	0.0
2025-06-28	0.001	0.0
2025-07-05	0.001	0.0
2025-07-12	0.001	0.0
2025-07-19	0.001	0.0
2025-07-26	0.001	0.0
2025-08-02	0.001	0.0
2025-08-09	0.001	0.0
2025-08-16	0.001	0.0
2025-08-23	0.001	0.0
2025-08-30	0.001	0.0
2025-09-06	0.001	0.0
2025-09-13	0.001	0.0
2025-09-20	0.001	0.0
2025-09-27	0.001	0.0
2025-10-04	0.001	0.0
