epiweeks	wili
201001	1.90711760430302
201002	1.86737529968374
201003	1.88072330631514
201004	1.96908433236079
201005	2.11386811062075
201006	2.09694583121344
201007	1.90294345645018
201008	1.96951462278194
201009	1.92331036712421
201010	1.89658616483482
201011	1.75180555050134
201012	1.52631922263178
201013	1.49571988362904
201014	1.22313021684613
201015	1.17754240902
201016	1.09111851417293
201017	1.11957937083649
201018	1.08168511952067
201019	1.12497482672273
201020	1.0619697897527
201021	1.08908766932167
201022	1.17760142013009
201023	0.974930395182935
201024	0.987131780132296
201025	0.99599053755025
201026	0.904726272396402
201027	0.941927007840111
201028	0.880415229455867
201029	0.842614661882896
201030	0.858382365250436
201031	0.833830394847588
201032	0.847436542815637
201033	0.888273269260976
201034	0.76537228790335
201035	0.91858044292525
201036	1.01431787184839
201037	1.01232561233888
201038	1.11803281725652
201039	1.11805942184768
201040	1.10939
201041	1.24341
201042	1.25726
201043	1.25734
201044	1.43414
201045	1.51838
201046	1.61617
201047	1.84378
201048	1.72535
201049	1.87923
201050	2.3371
201051	3.03533
201052	3.136
201101	2.53336
201102	2.91288
201103	3.44497
201104	4.16185
201105	4.55159
201106	4.46504
201107	4.55124
201108	4.0822
201109	3.38812
201110	2.99142
201111	2.61542
201112	2.09065
201113	1.86146
201114	1.61377
201115	1.42199
201116	1.3382
201117	1.19995
201118	1.14889
201119	1.12194
201120	1.06712
201121	1.05058
201122	1.15203
201123	0.970975
201124	0.894683
201125	0.843568
201126	0.815409
201127	0.823052
201128	0.674635
201129	0.631883
201130	0.641513
201131	0.529813
201132	0.644089
201133	0.667718
201134	0.705668
201135	0.804155
201136	0.907804
201137	1.00555
201138	1.03601
201139	1.07583
201140	1.16092
201141	1.19785
201142	1.27926
201143	1.29194
201144	1.42824
201145	1.39803
201146	1.45831
201147	1.56548
201148	1.34313
201149	1.48139
201150	1.63398
201151	1.83126
201152	2.10451
201201	1.73625
201202	1.55066
201203	1.62891
201204	1.76038
201205	1.92728
201206	1.91994
201207	2.09951
201208	2.23973
201209	2.21921
201210	2.16693
201211	2.38913
201212	1.96466
201213	1.84229
201214	1.68674
201215	1.53136
201216	1.37912
201217	1.29515
201218	1.39521
201219	1.32522
201220	1.23059
201221	1.23028
201222	1.26877
201223	1.10782
201224	1.09559
201225	1.11031
201226	1.10616
201227	1.10816
201228	0.999444
201229	0.924199
201230	0.949257
201231	0.978903
201232	0.925024
201233	0.848456
201234	1.04451
201235	1.0986
201236	1.22071
201237	1.24976
201238	1.22892
201239	1.29393
201240	1.23034
201241	1.3278
201242	1.33995
201243	1.37842
201244	1.50085
201245	1.65163
201246	1.76746
201247	2.30609
201248	2.16324
201249	2.83038
201250	3.43761
201251	4.30554
201252	6.06082
201301	4.64931
201302	4.32584
201303	4.51113
201304	4.2171
201305	3.78956
201306	3.29206
201307	3.0197
201308	2.71499
201309	2.4845
201310	2.57808
201311	2.39237
201312	2.06778
201313	1.90281
201314	1.65902
201315	1.43006
201316	1.27757
201317	1.19009
201318	1.09556
201319	1.08589
201320	1.07343
201321	1.01677
201322	1.04847
201323	0.920349
201324	0.920779
201325	0.904333
201326	0.83057
201327	0.862837
201328	0.732182
201329	0.724558
201330	0.740848
201331	0.726037
201332	0.755639
201333	0.761847
201334	0.779896
201335	0.899138
201336	0.999524
201337	1.0558
201338	1.0967
201339	1.24709
201340	1.15746
201341	1.27184
201342	1.31623
201343	1.37444
201344	1.46781
201345	1.5834
201346	1.60253
201347	1.72344
201348	2.11076
201349	2.1708
201350	2.36971
201351	3.15997
201352	4.59053
201401	4.28195
201402	3.56288
201403	3.36378
201404	3.39659
201405	3.11922
201406	2.83572
201407	2.48484
201408	2.2741
201409	2.07244
201410	1.98207
201411	1.82441
201412	1.82036
201413	1.75391
201414	1.74542
201415	1.67236
201416	1.51659
201417	1.44778
201418	1.29028
201419	1.37388
201420	1.34208
201421	1.34563
201422	1.21291
201423	1.19291
201424	1.14146
201425	1.06503
201426	1.12669
201427	0.947353
201428	0.944187
201429	0.934822
201430	0.81736
201431	0.852792
201432	0.746994
201433	0.761098
201434	0.767627
201435	0.862176
201436	0.984907
201437	1.16287
201438	1.22731
201439	1.2071
201440	1.16191
201441	1.30905
201442	1.37072
201443	1.43373
201444	1.42791
201445	1.61605
201446	1.65976
201447	2.05459
201448	2.53541
201449	2.54253
201450	3.60563
201451	4.90976
201452	5.98221
201453	5.47421
201501	4.21374
201502	4.21022
201503	4.25968
201504	3.97761
201505	3.63443
201506	3.26527
201507	2.93083
201508	2.54474
201509	2.47227
201510	2.35665
201511	2.17008
201512	2.04297
201513	1.954
201514	1.72287
201515	1.53694
201516	1.38283
201517	1.46265
201518	1.38934
201519	1.3468
201520	1.25452
201521	1.21636
201522	1.16734
201523	1.04654
201524	0.943661
201525	0.935046
201526	0.934726
201527	0.864118
