dataset_id	retrieval_datetime_utc	source	version_or_revision_tag	snapshot_path	sha256	n_rows	where	select	order
cdc_kvib-3txy	2026-03-26T045736Z	data.cdc.gov (Socrata)		data/snapshots/cdc_kvib-3txy/2026-03-26T045736Z.csv.gz	bcff3cf98c738b93fd4f81acbfc554d9a94663ff7ee2672216ea761050a8b6ae	15189	site='Overall' AND rate_type='Observed' AND surveillance_network in ('FluSurv-NET','RSV-NET')		week_ending_date ASC
cdc_52kb-ccu2	2026-03-26T045743Z	data.cdc.gov (Socrata)		data/snapshots/cdc_52kb-ccu2/2026-03-26T045743Z.csv.gz	2373e2354b030890f58df990302aad6e1a922345e73549ec7da71568db4bd816	10313			repweekdate ASC
delphi_fluview_wili	2026-03-26T045748Z	api.delphi.cmu.edu/epidata (fluview)		data/snapshots/delphi_fluview_wili/2026-03-26T045748Z.json.gz	2580b6083c65b88d18f1edfc0d76a56791e7fa013ff9773ec8a0d1cfa04c2b13	845			
cdc_kvib-3txy	2026-03-26T052037Z	data.cdc.gov (Socrata)		data/snapshots/cdc_kvib-3txy/2026-03-26T052037Z.csv.gz	f11ace51c6fd832153d83dbe6da40e63cbc2868e22388da21e8e0ca422464f0d	22695	rate_type='Observed' AND surveillance_network in ('FluSurv-NET','RSV-NET')		week_ending_date ASC
cdc_52kb-ccu2	2026-03-26T052046Z	data.cdc.gov (Socrata)		data/snapshots/cdc_52kb-ccu2/2026-03-26T052046Z.csv.gz	13d8739db5fef666b3c54b3e6c0ea9e96e6948d59a03695651efaca9df0be70c	10313			repweekdate ASC
cdc_seuz-s2cv	2026-03-26T052111Z	data.cdc.gov (Socrata)		data/snapshots/cdc_seuz-s2cv/2026-03-26T052111Z.csv.gz	2c9baf88adc8e3dbc89d0fba7ee81487fa7f9804bf9d0e47b0a3533f9ff75161	543			week_end ASC
delphi_fluview_wili	2026-03-26T052115Z	api.delphi.cmu.edu/epidata (fluview)		data/snapshots/delphi_fluview_wili/2026-03-26T052115Z.json.gz	53db88e93850b53f3c766c6e6ae2856fe1ce85aea1703062d12d005652db522e	845			
cdc_kvib-3txy	2026-03-26T060243Z	data.cdc.gov (Socrata)		data/snapshots/cdc_kvib-3txy/2026-03-26T060243Z.csv.gz	379d15a13bf074a3c4902099614b7aec49d28de78f7c4989259925e44098871a	22695	rate_type='Observed' AND surveillance_network in ('FluSurv-NET','RSV-NET')		week_ending_date ASC
cdc_52kb-ccu2	2026-03-26T060256Z	data.cdc.gov (Socrata)		data/snapshots/cdc_52kb-ccu2/2026-03-26T060256Z.csv.gz	75b6c757f153e1042aa1135523359c83a4b7154121d50aef7eaa5d0f6ddcb8c8	10313			repweekdate ASC
cdc_seuz-s2cv	2026-03-26T060304Z	data.cdc.gov (Socrata)		data/snapshots/cdc_seuz-s2cv/2026-03-26T060304Z.csv.gz	b69829c1ab4cbc9d531d13d9ad4ab5c06f71f2be28cc1970d6288d8b3400def6	543			week_end ASC
delphi_fluview_wili	2026-03-26T060309Z	api.delphi.cmu.edu/epidata (fluview)		data/snapshots/delphi_fluview_wili/2026-03-26T060309Z.json.gz	d708df14720ad0a40a5a746899ae4a270de1a83511f7f4e57779ecf7839be39e	845			
cdc_kvib-3txy	2026-03-26T062832Z	data.cdc.gov (Socrata)		data/snapshots/cdc_kvib-3txy/2026-03-26T062832Z.csv.gz	31bcc6cbd0db878007bd1c1ed668e78307f260ae69fe5f8e9e5520a78c423461	22695	rate_type='Observed' AND surveillance_network in ('FluSurv-NET','RSV-NET')		week_ending_date ASC
