week_ending_date	target_week_ending_date_h1	epiweeks	mmwr_year	mmwr_week	ed_rsv_pct_65p	ed_expected	ed_dev	rate_per_100k	hosp_expected	hosp_dev	hosp_dev_h1
2022-10-01	2022-10-08	202239	2022	39	0.001	0.0	0.001	0.9	0.1	0.8	0.7
2022-10-08	2022-10-15	202240	2022	40	0.001	0.0	0.001	1.0	0.3	0.7	1.0999999999999999
2022-10-15	2022-10-22	202241	2022	41	0.001	0.0	0.001	1.4	0.3	1.0999999999999999	1.3
2022-10-22	2022-10-29	202242	2022	42	0.001	0.0	0.001	1.6	0.3	1.3	1.9999999999999998
2022-10-29	2022-11-05	202243	2022	43	0.002	0.0	0.002	2.3	0.3	1.9999999999999998	2.4
2022-11-05	2022-11-12	202244	2022	44	0.002	0.0	0.002	2.9	0.5	2.4	2.8
2022-11-12	2022-11-19	202245	2022	45	0.003	0.0	0.003	3.5	0.7	2.8	2.8
2022-11-19	2022-11-26	202246	2022	46	0.003	0.001	0.002	3.9	1.1	2.8	2.8
2022-11-26	2022-12-03	202247	2022	47	0.003	0.001	0.002	4.5	1.7	2.8	4.5
2022-12-03	2022-12-10	202248	2022	48	0.003	0.001	0.002	6.1	1.6	4.5	2.7
2022-12-10	2022-12-17	202249	2022	49	0.004	0.001	0.003	5.4	2.7	2.7	0.7999999999999998
2022-12-17	2022-12-24	202250	2022	50	0.003	0.002	0.001	4.6	3.8	0.7999999999999998	-1.4
2022-12-24	2022-12-31	202251	2022	51	0.003	0.003	0.0	3.4	4.8	-1.4	-2.1499999999999995
2022-12-31	2023-01-07	202252	2022	52	0.003	0.0035	-0.0005	3.2	5.35	-2.1499999999999995	-5.200000000000001
2023-01-07	2023-01-14	202301	2023	1	0.002	0.005	-0.003	3.6	8.8	-5.200000000000001	-4.1
2023-01-14	2023-01-21	202302	2023	2	0.002	0.005	-0.003	3.0	7.1	-4.1	-4.6
2023-01-21	2023-01-28	202303	2023	3	0.001	0.004	-0.003	1.9	6.5	-4.6	-3.2
2023-01-28	2023-02-04	202304	2023	4	0.001	0.003	-0.002	1.8	5.0	-3.2	-3.2
2023-02-04	2023-02-11	202305	2023	5	0.001	0.003	-0.002	1.3	4.5	-3.2	-4.1
2023-02-11	2023-02-18	202306	2023	6	0.001	0.003	-0.002	1.2	5.3	-4.1	-4.1000000000000005
2023-02-18	2023-02-25	202307	2023	7	0.001	0.003	-0.002	1.3	5.4	-4.1000000000000005	-3.9000000000000004
