surveillance_network	age_group	site	n_rows	time_min	time_max	variable	n_missing	frac_missing
FluSurv-NET	65-74 yr	Overall	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	65-74 yr	Overall	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	65-74 yr	Overall	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	65-74 yr	Overall	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	65-74 yr	Overall	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	65-74 yr	Overall	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	75-84 yr	Overall	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	75-84 yr	Overall	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	75-84 yr	Overall	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	75-84 yr	Overall	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	75-84 yr	Overall	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	75-84 yr	Overall	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	85+ yr	Overall	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	85+ yr	Overall	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	85+ yr	Overall	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	85+ yr	Overall	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	85+ yr	Overall	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	85+ yr	Overall	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	Overall	California	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	California	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	Overall	California	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	Overall	California	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	Overall	California	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	California	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	Overall	Colorado	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	Colorado	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	Overall	Colorado	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	Overall	Colorado	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	Overall	Colorado	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	Colorado	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	Overall	Connecticut	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	Connecticut	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	Overall	Connecticut	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	Overall	Connecticut	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	Overall	Connecticut	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	Connecticut	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	Overall	Georgia	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	Georgia	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	Overall	Georgia	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	Overall	Georgia	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	Overall	Georgia	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	Georgia	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	Overall	Iowa	67	2019-10-05	2022-06-11	rate_per_100k	31	0.4626865671641791
FluSurv-NET	Overall	Iowa	67	2019-10-05	2022-06-11	rsvpos	36	0.5373134328358209
FluSurv-NET	Overall	Iowa	67	2019-10-05	2022-06-11	rsvtest	36	0.5373134328358209
FluSurv-NET	Overall	Iowa	67	2019-10-05	2022-06-11	rsv_positivity	36	0.5373134328358209
FluSurv-NET	Overall	Iowa	67	2019-10-05	2022-06-11	wili	0	0.0
FluSurv-NET	Overall	Iowa	67	2019-10-05	2022-06-11	flu_positivity	67	1.0
FluSurv-NET	Overall	Maryland	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	Maryland	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	Overall	Maryland	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	Overall	Maryland	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	Overall	Maryland	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	Maryland	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	Overall	Michigan	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	Michigan	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	Overall	Michigan	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	Overall	Michigan	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	Overall	Michigan	236	2018-10-06	2026-03-14	wili	0	0.0
FluSurv-NET	Overall	Michigan	236	2018-10-06	2026-03-14	flu_positivity	98	0.4152542372881356
FluSurv-NET	Overall	Minnesota	236	2018-10-06	2026-03-14	rate_per_100k	0	0.0
FluSurv-NET	Overall	Minnesota	236	2018-10-06	2026-03-14	rsvpos	174	0.7372881355932204
FluSurv-NET	Overall	Minnesota	236	2018-10-06	2026-03-14	rsvtest	174	0.7372881355932204
FluSurv-NET	Overall	Minnesota	236	2018-10-06	2026-03-14	rsv_positivity	174	0.7372881355932204
FluSurv-NET	Overall	Minnesota	236	2018-10-06	2026-03-14	wili	0	0.0
