surveillance_network	site	week_ending_date	epiweeks	age_group	rate_per_100k
FluSurv-NET	California	2018-10-06	201840	Overall	0.2
FluSurv-NET	California	2018-10-13	201841	Overall	0.2
FluSurv-NET	California	2018-10-20	201842	Overall	0.2
FluSurv-NET	California	2018-10-27	201843	Overall	0.2
FluSurv-NET	California	2018-11-03	201844	Overall	0.1
FluSurv-NET	California	2018-11-10	201845	Overall	0.2
FluSurv-NET	California	2018-11-17	201846	Overall	0.2
FluSurv-NET	California	2018-11-24	201847	Overall	0.4
FluSurv-NET	California	2018-12-01	201848	Overall	0.7
FluSurv-NET	California	2018-12-08	201849	Overall	0.4
FluSurv-NET	California	2018-12-15	201850	Overall	0.7
FluSurv-NET	California	2018-12-22	201851	Overall	1.3
FluSurv-NET	California	2018-12-29	201852	Overall	1.7
FluSurv-NET	California	2019-01-05	201901	Overall	3.6
FluSurv-NET	California	2019-01-12	201902	Overall	3.6
FluSurv-NET	California	2019-01-19	201903	Overall	2.6
FluSurv-NET	California	2019-01-26	201904	Overall	2.2
FluSurv-NET	California	2019-02-02	201905	Overall	2.5
FluSurv-NET	California	2019-02-09	201906	Overall	2.2
FluSurv-NET	California	2019-02-16	201907	Overall	3.1
FluSurv-NET	California	2019-02-23	201908	Overall	4.0
FluSurv-NET	California	2019-03-02	201909	Overall	5.5
FluSurv-NET	California	2019-03-09	201910	Overall	4.6
FluSurv-NET	California	2019-03-16	201911	Overall	3.6
FluSurv-NET	California	2019-03-23	201912	Overall	4.1
FluSurv-NET	California	2019-03-30	201913	Overall	2.8
FluSurv-NET	California	2019-04-06	201914	Overall	1.8
FluSurv-NET	California	2019-04-13	201915	Overall	1.0
FluSurv-NET	California	2019-04-20	201916	Overall	0.7
FluSurv-NET	California	2019-04-27	201917	Overall	0.6
FluSurv-NET	California	2019-05-04	201918	Overall	0.1
FluSurv-NET	California	2019-10-05	201940	Overall	0.2
FluSurv-NET	California	2019-10-12	201941	Overall	0.1
FluSurv-NET	California	2019-10-19	201942	Overall	0.1
FluSurv-NET	California	2019-10-26	201943	Overall	0.4
FluSurv-NET	California	2019-11-02	201944	Overall	0.7
FluSurv-NET	California	2019-11-09	201945	Overall	0.9
FluSurv-NET	California	2019-11-16	201946	Overall	1.0
FluSurv-NET	California	2019-11-23	201947	Overall	0.8
FluSurv-NET	California	2019-11-30	201948	Overall	0.9
FluSurv-NET	California	2019-12-07	201949	Overall	1.5
FluSurv-NET	California	2019-12-14	201950	Overall	1.6
FluSurv-NET	California	2019-12-21	201951	Overall	2.0
FluSurv-NET	California	2019-12-28	201952	Overall	3.0
FluSurv-NET	California	2020-01-04	202001	Overall	4.7
FluSurv-NET	California	2020-01-11	202002	Overall	4.6
FluSurv-NET	California	2020-01-18	202003	Overall	4.3
FluSurv-NET	California	2020-01-25	202004	Overall	4.9
FluSurv-NET	California	2020-02-01	202005	Overall	4.2
FluSurv-NET	California	2020-02-08	202006	Overall	4.2
FluSurv-NET	California	2020-02-15	202007	Overall	4.1
FluSurv-NET	California	2020-02-22	202008	Overall	4.3
FluSurv-NET	California	2020-02-29	202009	Overall	3.5
FluSurv-NET	California	2020-03-07	202010	Overall	2.4
FluSurv-NET	California	2020-03-14	202011	Overall	1.7
FluSurv-NET	California	2020-03-21	202012	Overall	0.6
FluSurv-NET	California	2020-03-28	202013	Overall	0.1
FluSurv-NET	California	2020-04-04	202014	Overall	0.1
FluSurv-NET	California	2020-04-11	202015	Overall	0.0
FluSurv-NET	California	2020-04-18	202016	Overall	0.1
FluSurv-NET	California	2020-04-25	202017	Overall	0.0
FluSurv-NET	California	2020-05-02	202018	Overall	0.0
FluSurv-NET	California	2021-10-09	202140	Overall	0.0
FluSurv-NET	California	2021-10-16	202141	Overall	0.1
FluSurv-NET	California	2021-10-23	202142	Overall	0.0
FluSurv-NET	California	2021-10-30	202143	Overall	0.0
FluSurv-NET	California	2021-11-06	202144	Overall	0.0
FluSurv-NET	California	2021-11-13	202145	Overall	0.0
FluSurv-NET	California	2021-11-20	202146	Overall	0.0
FluSurv-NET	California	2021-11-27	202147	Overall	0.1
FluSurv-NET	California	2021-12-04	202148	Overall	0.1
FluSurv-NET	California	2021-12-11	202149	Overall	0.0
FluSurv-NET	California	2021-12-18	202150	Overall	0.0
FluSurv-NET	California	2021-12-25	202151	Overall	0.1
FluSurv-NET	California	2022-01-01	202152	Overall	0.1
FluSurv-NET	California	2022-01-08	202201	Overall	0.1
FluSurv-NET	California	2022-01-15	202202	Overall	0.1
FluSurv-NET	California	2022-01-22	202203	Overall	0.0
FluSurv-NET	California	2022-01-29	202204	Overall	0.0
FluSurv-NET	California	2022-02-05	202205	Overall	0.0
FluSurv-NET	California	2022-02-12	202206	Overall	0.0
FluSurv-NET	California	2022-02-19	202207	Overall	0.0
FluSurv-NET	California	2022-02-26	202208	Overall	0.1
FluSurv-NET	California	2022-03-05	202209	Overall	0.1
FluSurv-NET	California	2022-03-12	202210	Overall	0.1
FluSurv-NET	California	2022-03-19	202211	Overall	0.1
FluSurv-NET	California	2022-03-26	202212	Overall	0.1
FluSurv-NET	California	2022-04-02	202213	Overall	0.1
FluSurv-NET	California	2022-04-09	202214	Overall	0.1
FluSurv-NET	California	2022-04-16	202215	Overall	0.1
FluSurv-NET	California	2022-04-23	202216	Overall	0.2
FluSurv-NET	California	2022-04-30	202217	Overall	0.4
FluSurv-NET	California	2022-05-07	202218	Overall	0.2
FluSurv-NET	California	2022-05-14	202219	Overall	0.4
FluSurv-NET	California	2022-05-21	202220	Overall	0.7
FluSurv-NET	California	2022-05-28	202221	Overall	0.8
FluSurv-NET	California	2022-06-04	202222	Overall	0.5
FluSurv-NET	California	2022-06-11	202223	Overall	0.5
FluSurv-NET	California	2022-10-08	202240	Overall	0.1
FluSurv-NET	California	2022-10-15	202241	Overall	0.1
FluSurv-NET	California	2022-10-22	202242	Overall	0.1
FluSurv-NET	California	2022-10-29	202243	Overall	0.2
FluSurv-NET	California	2022-11-05	202244	Overall	0.4
FluSurv-NET	California	2022-11-12	202245	Overall	1.0
FluSurv-NET	California	2022-11-19	202246	Overall	2.0
FluSurv-NET	California	2022-11-26	202247	Overall	4.3
FluSurv-NET	California	2022-12-03	202248	Overall	6.3
FluSurv-NET	California	2022-12-10	202249	Overall	6.1
FluSurv-NET	California	2022-12-17	202250	Overall	5.0
FluSurv-NET	California	2022-12-24	202251	Overall	5.8
FluSurv-NET	California	2022-12-31	202252	Overall	4.9
FluSurv-NET	California	2023-01-07	202301	Overall	2.6
FluSurv-NET	California	2023-01-14	202302	Overall	0.9
FluSurv-NET	California	2023-01-21	202303	Overall	0.3
FluSurv-NET	California	2023-01-28	202304	Overall	0.2
FluSurv-NET	California	2023-02-04	202305	Overall	0.5
FluSurv-NET	California	2023-02-11	202306	Overall	0.4
FluSurv-NET	California	2023-02-18	202307	Overall	0.3
FluSurv-NET	California	2023-02-25	202308	Overall	0.3
FluSurv-NET	California	2023-03-04	202309	Overall	0.1
FluSurv-NET	California	2023-03-11	202310	Overall	0.1
FluSurv-NET	California	2023-03-18	202311	Overall	0.1
FluSurv-NET	California	2023-03-25	202312	Overall	0.0
FluSurv-NET	California	2023-04-01	202313	Overall	0.1
FluSurv-NET	California	2023-04-08	202314	Overall	0.2
FluSurv-NET	California	2023-04-15	202315	Overall	0.0
FluSurv-NET	California	2023-04-22	202316	Overall	0.1
FluSurv-NET	California	2023-04-29	202317	Overall	0.0
FluSurv-NET	California	2023-05-06	202318	Overall	0.0
FluSurv-NET	California	2023-10-07	202340	Overall	0.3
FluSurv-NET	California	2023-10-14	202341	Overall	0.2
FluSurv-NET	California	2023-10-21	202342	Overall	0.1
FluSurv-NET	California	2023-10-28	202343	Overall	0.1
FluSurv-NET	California	2023-11-04	202344	Overall	0.3
FluSurv-NET	California	2023-11-11	202345	Overall	0.8
FluSurv-NET	California	2023-11-18	202346	Overall	1.0
FluSurv-NET	California	2023-11-25	202347	Overall	1.3
FluSurv-NET	California	2023-12-02	202348	Overall	2.4
FluSurv-NET	California	2023-12-09	202349	Overall	2.6
FluSurv-NET	California	2023-12-16	202350	Overall	2.9
FluSurv-NET	California	2023-12-23	202351	Overall	4.5
FluSurv-NET	California	2023-12-30	202352	Overall	5.2
FluSurv-NET	California	2024-01-06	202401	Overall	5.3
FluSurv-NET	California	2024-01-13	202402	Overall	2.9
FluSurv-NET	California	2024-01-20	202403	Overall	2.8
FluSurv-NET	California	2024-01-27	202404	Overall	1.8
FluSurv-NET	California	2024-02-03	202405	Overall	1.4
FluSurv-NET	California	2024-02-10	202406	Overall	1.3
FluSurv-NET	California	2024-02-17	202407	Overall	1.0
FluSurv-NET	California	2024-02-24	202408	Overall	1.0
FluSurv-NET	California	2024-03-02	202409	Overall	0.9
FluSurv-NET	California	2024-03-09	202410	Overall	0.7
FluSurv-NET	California	2024-03-16	202411	Overall	0.7
FluSurv-NET	California	2024-03-23	202412	Overall	0.6
FluSurv-NET	California	2024-03-30	202413	Overall	0.8
FluSurv-NET	California	2024-04-06	202414	Overall	0.6
FluSurv-NET	California	2024-04-13	202415	Overall	0.6
FluSurv-NET	California	2024-04-20	202416	Overall	0.9
FluSurv-NET	California	2024-04-27	202417	Overall	0.7
FluSurv-NET	California	2024-05-04	202418	Overall	0.6
FluSurv-NET	California	2024-05-11	202419	Overall	0.5
FluSurv-NET	California	2024-05-18	202420	Overall	0.5
FluSurv-NET	California	2024-05-25	202421	Overall	0.4
FluSurv-NET	California	2024-06-01	202422	Overall	0.6
FluSurv-NET	California	2024-06-08	202423	Overall	0.5
FluSurv-NET	California	2024-06-15	202424	Overall	0.3
FluSurv-NET	California	2024-06-22	202425	Overall	0.6
FluSurv-NET	California	2024-06-29	202426	Overall	0.4
FluSurv-NET	California	2024-07-06	202427	Overall	0.5
FluSurv-NET	California	2024-07-13	202428	Overall	0.4
FluSurv-NET	California	2024-07-20	202429	Overall	0.2
FluSurv-NET	California	2024-07-27	202430	Overall	0.1
FluSurv-NET	California	2024-08-03	202431	Overall	0.1
FluSurv-NET	California	2024-08-10	202432	Overall	0.1
FluSurv-NET	California	2024-08-17	202433	Overall	0.3
FluSurv-NET	California	2024-08-24	202434	Overall	0.1
FluSurv-NET	California	2024-08-31	202435	Overall	0.2
FluSurv-NET	California	2024-09-07	202436	Overall	0.1
FluSurv-NET	California	2024-09-14	202437	Overall	0.1
FluSurv-NET	California	2024-09-21	202438	Overall	0.2
FluSurv-NET	California	2024-09-28	202439	Overall	0.3
FluSurv-NET	California	2024-10-05	202440	Overall	0.2
FluSurv-NET	California	2024-10-12	202441	Overall	0.2
FluSurv-NET	California	2024-10-19	202442	Overall	0.2
FluSurv-NET	California	2024-10-26	202443	Overall	0.4
FluSurv-NET	California	2024-11-02	202444	Overall	0.4
FluSurv-NET	California	2024-11-09	202445	Overall	0.4
FluSurv-NET	California	2024-11-16	202446	Overall	0.5
