epiweeks	rsvpos	rsvtest	rsv_positivity
201027	3	805	0.0037267080745341614
201028	5	919	0.00544069640914037
201029	3	826	0.0036319612590799033
201030	2	799	0.0025031289111389237
201031	3	634	0.00473186119873817
201032	7	921	0.00760043431053203
201033	2	981	0.0020387359836901123
201034	1	921	0.0010857763300760044
201035	2	1133	0.00176522506619594
201036	6	1196	0.005016722408026756
201037	4	1359	0.0029433406916850625
201038	10	1537	0.006506180871828237
201039	10	1453	0.006882312456985547
201040	13	1595	0.008150470219435737
201041	20	1778	0.01124859392575928
201042	18	1863	0.00966183574879227
201043	27	1793	0.01505856107083101
201044	31	2069	0.014983083615273078
201045	47	2236	0.02101967799642218
201046	112	2354	0.0475785896346644
201047	106	2167	0.04891555145362252
201048	133	2579	0.05157037611477317
201049	162	2837	0.05710257314064152
201050	231	3113	0.07420494699646643
201051	353	3081	0.11457319052255761
201052	405	3535	0.11456859971711457
201101	532	4333	0.12277867528271405
201102	530	3743	0.14159764894469676
201103	600	4551	0.13183915622940012
201104	665	4916	0.13527257933279088
201105	653	4843	0.1348337807144332
201106	875	5308	0.1648455162019593
201107	833	6070	0.1372322899505766
201108	866	5654	0.1531659002476123
201109	785	4868	0.16125718981101067
201110	627	4794	0.13078848560700876
201111	562	4484	0.12533452274754683
201112	404	3662	0.1103222282905516
201113	343	3601	0.09525131907803389
201114	294	3520	0.08352272727272728
201115	180	3174	0.05671077504725898
201116	150	2684	0.05588673621460507
201117	115	2463	0.046691027202598455
201118	93	2210	0.04208144796380091
201119	47	2046	0.02297165200391007
201120	50	2036	0.02455795677799607
201121	27	1857	0.014539579967689823
201122	19	1524	0.012467191601049869
201123	21	1554	0.013513513513513514
201124	11	1395	0.007885304659498209
201125	11	1196	0.00919732441471572
201126	6	1144	0.005244755244755245
201127	6	1005	0.005970149253731343
201128	9	1098	0.00819672131147541
201129	11	1074	0.010242085661080074
201130	1	974	0.001026694045174538
201131	6	943	0.006362672322375398
201132	4	1036	0.003861003861003861
201133	8	1045	0.007655502392344498
201134	9	1095	0.00821917808219178
201135	8	1253	0.006384676775738229
201136	11	1435	0.007665505226480836
201137	21	1479	0.014198782961460446
201138	17	1746	0.009736540664375716
201139	19	1823	0.010422380691168404
201140	30	2063	0.014541929229277752
201141	41	2063	0.019873969946679594
201142	40	2222	0.018001800180018002
201143	44	2350	0.01872340425531915
201144	60	2404	0.024958402662229616
201145	76	2667	0.028496437945256844
201146	106	2758	0.03843364757070341
201147	139	2491	0.055800883179446
201148	182	2938	0.061946902654867256
201149	203	2676	0.0758594917787743
201150	322	2982	0.107981220657277
201151	396	3095	0.12794830371567043
201152	485	3138	0.15455704270235818
201201	520	3498	0.14865637507146942
201202	512	3401	0.1505439576595119
201203	517	3291	0.15709510786994835
201204	585	3372	0.17348754448398576
201205	572	3661	0.15624146408085224
201206	705	3988	0.17678034102306922
201207	635	3862	0.16442257897462453
201208	666	4069	0.16367657901204227
201209	676	4211	0.16053194015673236
201210	573	4231	0.13542897660127629
201211	505	4263	0.11846117757447806
201212	403	3934	0.10244026436197255
201213	326	3457	0.09430141741394273
201214	291	3508	0.08295324971493728
201215	199	3259	0.061061675360540045
201216	166	3000	0.05533333333333333
201217	108	2932	0.036834924965893585
201218	85	2456	0.03460912052117264
201219	68	2206	0.030825022665457842
201220	59	2119	0.02784332232184993
201221	50	2135	0.0234192037470726
201222	43	1782	0.024130190796857465
201223	28	1964	0.014256619144602852
201224	16	1703	0.009395184967704051
201225	13	1681	0.007733491969066032
201226	14	1373	0.010196649672250545
201227	10	1450	0.006896551724137931
201228	25	1565	0.01597444089456869
201229	20	1565	0.012779552715654952
201230	13	1577	0.008243500317057704
201231	8	1321	0.006056018168054504
201232	25	1655	0.015105740181268883
201233	11	1738	0.006329113924050633
201234	21	1980	0.010606060606060607
201235	31	1965	0.015776081424936386
201236	44	2171	0.02026715799170889
201237	33	2550	0.012941176470588235
201238	24	2742	0.0087527352297593
201239	48	3040	0.015789473684210527
201240	80	3006	0.02661343978709248
201241	92	3392	0.027122641509433963
201242	113	3318	0.03405666063893912
201243	165	3299	0.05001515610791149
201244	243	3417	0.07111501316944688
201245	336	4157	0.08082751984604282
201246	438	4412	0.09927470534904805
201247	563	4439	0.12683036719981977
201248	740	5649	0.13099663657284474
201249	919	6826	0.1346322883094052
201250	1328	7970	0.16662484316185697
201251	1588	9340	0.17002141327623127
201252	1761	10563	0.16671400170406134
201301	1899	11865	0.16005056890012642
201302	2043	14466	0.14122770634591456
201303	2089	13748	0.1519493744544661
201304	1886	12410	0.15197421434327155
201305	1893	11415	0.16583442838370566
201306	1807	10564	0.17105263157894737
201307	1600	9456	0.1692047377326565
201308	1290	8593	0.150122192482253
201309	1062	8212	0.1293229420360448
201310	863	7481	0.11535890923673306
201311	708	7348	0.09635274904735983
201312	597	6792	0.08789752650176678
201313	479	6367	0.07523166326370347
201314	359	5787	0.06203559702782098
201315	260	5047	0.0515157519318407
201316	234	4970	0.047082494969818915
201317	130	4542	0.028621752531924262
201318	111	4276	0.02595884003741815
201319	97	4149	0.023379127500602555
201320	67	3628	0.01846747519294377
