surveillance_network	age_group	signal	lag_weeks	n	corr
FluSurv-NET	65-74 yr	rsv_positivity	0	236	0.26888943300592444
FluSurv-NET	65-74 yr	rsv_positivity	1	235	0.4178109028951925
FluSurv-NET	65-74 yr	rsv_positivity	2	234	0.5465767424106598
FluSurv-NET	65-74 yr	rsv_positivity	3	233	0.6611338856132735
FluSurv-NET	65-74 yr	rsv_positivity	4	232	0.7576650260085603
FluSurv-NET	65-74 yr	rsv_positivity	5	231	0.8283424822713171
FluSurv-NET	65-74 yr	rsv_positivity	6	230	0.8628802650219913
FluSurv-NET	65-74 yr	rsv_positivity	7	229	0.8647131292237006
FluSurv-NET	65-74 yr	rsv_positivity	8	228	0.8349772424908131
FluSurv-NET	65-74 yr	wili	0	236	0.8613201505995545
FluSurv-NET	65-74 yr	wili	1	235	0.8572868676709108
FluSurv-NET	65-74 yr	wili	2	234	0.7752842757604395
FluSurv-NET	65-74 yr	wili	3	233	0.6720017086238846
FluSurv-NET	65-74 yr	wili	4	232	0.5766504484471483
FluSurv-NET	65-74 yr	wili	5	231	0.4780605872160567
FluSurv-NET	65-74 yr	wili	6	230	0.3632316227219149
FluSurv-NET	65-74 yr	wili	7	229	0.23737907503926725
FluSurv-NET	65-74 yr	wili	8	228	0.11727601322318275
FluSurv-NET	75-84 yr	rsv_positivity	0	236	0.21164670187108356
FluSurv-NET	75-84 yr	rsv_positivity	1	235	0.35627687499366073
FluSurv-NET	75-84 yr	rsv_positivity	2	234	0.48293207582929887
FluSurv-NET	75-84 yr	rsv_positivity	3	233	0.5982622645451838
FluSurv-NET	75-84 yr	rsv_positivity	4	232	0.6994627997842876
FluSurv-NET	75-84 yr	rsv_positivity	5	231	0.7751698689191844
FluSurv-NET	75-84 yr	rsv_positivity	6	230	0.8192344571358453
FluSurv-NET	75-84 yr	rsv_positivity	7	229	0.833177296951603
FluSurv-NET	75-84 yr	rsv_positivity	8	228	0.8189968757384283
FluSurv-NET	75-84 yr	wili	0	236	0.8305325332473203
FluSurv-NET	75-84 yr	wili	1	235	0.8307515394528778
FluSurv-NET	75-84 yr	wili	2	234	0.7465143502575307
FluSurv-NET	75-84 yr	wili	3	233	0.6428400294733513
FluSurv-NET	75-84 yr	wili	4	232	0.5503309177318585
FluSurv-NET	75-84 yr	wili	5	231	0.45502801212472616
FluSurv-NET	75-84 yr	wili	6	230	0.3414659657500551
FluSurv-NET	75-84 yr	wili	7	229	0.21994753907902626
FluSurv-NET	75-84 yr	wili	8	228	0.10425938375361825
FluSurv-NET	85+ yr	rsv_positivity	0	236	0.17183741652887147
FluSurv-NET	85+ yr	rsv_positivity	1	235	0.3133791519034493
FluSurv-NET	85+ yr	rsv_positivity	2	234	0.4384102249400803
FluSurv-NET	85+ yr	rsv_positivity	3	233	0.5496082343533972
FluSurv-NET	85+ yr	rsv_positivity	4	232	0.6495075052014454
FluSurv-NET	85+ yr	rsv_positivity	5	231	0.7264748238321307
FluSurv-NET	85+ yr	rsv_positivity	6	230	0.7712652732109944
FluSurv-NET	85+ yr	rsv_positivity	7	229	0.7891072570803861
FluSurv-NET	85+ yr	rsv_positivity	8	228	0.7775035020935771
FluSurv-NET	85+ yr	wili	0	236	0.7872558608387884
FluSurv-NET	85+ yr	wili	1	235	0.7886314551380674
FluSurv-NET	85+ yr	wili	2	234	0.7041130981770707
FluSurv-NET	85+ yr	wili	3	233	0.602310543146587
FluSurv-NET	85+ yr	wili	4	232	0.5143091667090408
FluSurv-NET	85+ yr	wili	5	231	0.42701025505472945
FluSurv-NET	85+ yr	wili	6	230	0.31916448449506807
FluSurv-NET	85+ yr	wili	7	229	0.20693377204713082
FluSurv-NET	85+ yr	wili	8	228	0.09979010327305661
FluSurv-NET	Overall	rsv_positivity	0	267	0.36751931088436823
FluSurv-NET	Overall	rsv_positivity	1	266	0.514664066462415
FluSurv-NET	Overall	rsv_positivity	2	265	0.6398295060939956
FluSurv-NET	Overall	rsv_positivity	3	264	0.7461202788678611
FluSurv-NET	Overall	rsv_positivity	4	263	0.8293969902155286
FluSurv-NET	Overall	rsv_positivity	5	262	0.8792323912078348
FluSurv-NET	Overall	rsv_positivity	6	261	0.8889983875767327
FluSurv-NET	Overall	rsv_positivity	7	260	0.8668515046420014
FluSurv-NET	Overall	rsv_positivity	8	259	0.8117557959584908
FluSurv-NET	Overall	wili	0	267	0.8768492353830541
FluSurv-NET	Overall	wili	1	266	0.8583320012549018
FluSurv-NET	Overall	wili	2	265	0.7756497193107307
FluSurv-NET	Overall	wili	3	264	0.6798423721642055
FluSurv-NET	Overall	wili	4	263	0.5913729380198733
FluSurv-NET	Overall	wili	5	262	0.5006605374641766
FluSurv-NET	Overall	wili	6	261	0.3974811916648105
FluSurv-NET	Overall	wili	7	260	0.28736784064059867
FluSurv-NET	Overall	wili	8	259	0.1825678762673717
RSV-NET	65-74 yr	rsv_positivity	0	347	0.7204128431298641
RSV-NET	65-74 yr	rsv_positivity	1	346	0.8371828147976901
RSV-NET	65-74 yr	rsv_positivity	2	345	0.8974638868802061
RSV-NET	65-74 yr	rsv_positivity	3	344	0.9235140473270564
RSV-NET	65-74 yr	rsv_positivity	4	343	0.9242855775215945
RSV-NET	65-74 yr	rsv_positivity	5	342	0.8713235969816271
RSV-NET	65-74 yr	rsv_positivity	6	341	0.8010622794547205
RSV-NET	65-74 yr	rsv_positivity	7	340	0.6837973851583081
RSV-NET	65-74 yr	rsv_positivity	8	339	0.5538567758870291
RSV-NET	65-74 yr	wili	0	347	0.8199922480337191
RSV-NET	65-74 yr	wili	1	346	0.8131570094794154
RSV-NET	65-74 yr	wili	2	345	0.7637080580327257
RSV-NET	65-74 yr	wili	3	344	0.6910314018008362
RSV-NET	65-74 yr	wili	4	343	0.6142885546289191
RSV-NET	65-74 yr	wili	5	342	0.5382959579888407
RSV-NET	65-74 yr	wili	6	341	0.46210656245642734
RSV-NET	65-74 yr	wili	7	340	0.3867996621938357
RSV-NET	65-74 yr	wili	8	339	0.3048615832348523
RSV-NET	75-84 yr	rsv_positivity	0	347	0.6316481581239419
RSV-NET	75-84 yr	rsv_positivity	1	346	0.7566492454197775
RSV-NET	75-84 yr	rsv_positivity	2	345	0.8382718870935946
RSV-NET	75-84 yr	rsv_positivity	3	344	0.8798313541082448
RSV-NET	75-84 yr	rsv_positivity	4	343	0.8936797086972474
RSV-NET	75-84 yr	rsv_positivity	5	342	0.8702703491742035
RSV-NET	75-84 yr	rsv_positivity	6	341	0.7999278896157039
RSV-NET	75-84 yr	rsv_positivity	7	340	0.6979050435185257
RSV-NET	75-84 yr	rsv_positivity	8	339	0.5704364144485211
RSV-NET	75-84 yr	wili	0	347	0.812199943415186
RSV-NET	75-84 yr	wili	1	346	0.8226397714894368
RSV-NET	75-84 yr	wili	2	345	0.7881633284240696
